grid_id,lat,lon,forest_mask,ndmi,ndvi,forest_pct,ndmi_raw_score,ndmi_hist_mean,ndmi_hist_min,ndmi_hist_max,ndmi_hist_count,ndmi_deviation,moisture_score_calibrated,moisture_class_calibrated,ndmi_calibration_method,map1_distance_m,map1_pressure,map2_distance_m,map2_pressure,mining_pressure_score,mining_pressure_class,fire_count,fire_frp_max,fire_frp_sum,fire_detected,fire_intensity_class,ndvi_hist_mean,ndmi_hist_mean_trend,repeated_fire_count,ndvi_trend_class,ndmi_trend_class,repeated_fire_class,health_score,health_class,health_risk,moisture_risk,mining_risk,fire_risk,historical_risk_score,final_risk_score,final_priority,patrol_action,google_maps_link,system_run_timestamp_local,corrected_health_score,corrected_health_class,corrected_health_risk,corrected_moisture_score,corrected_moisture_class,corrected_moisture_risk,corrected_mining_risk,corrected_mining_class,corrected_fire_risk,corrected_fire_class,corrected_history_risk,corrected_final_risk_score,corrected_final_priority,corrected_patrol_action,pipeline_timestamp
GD-54-36,24.98957959037007,87.38138344825867,0.2447546749837577,-0.139204356,0.2970590604289685,24.475467498375775,23,-0.147651276,-0.170871532,-0.036773,29,0.0084,29,VERY_DRY,GRID_HISTORY_CALIBRATED,3743.08,0,0,100,100,VERY_HIGH,0,,0,FALSE,NO_FIRE,0.2889888681603459,-0.147651276,0,STABLE,STABLE,NO_REPEATED_FIRE,30,STRESSED,70,71,100,0,0,58.8,HIGH,"Priority patrol within 24 hours; inspect moisture, mining pressure, vegetation stress","https://www.google.com/maps?q=24.98957959037007,87.38138344825867",02-05-2026 16:55,44.12,MODERATE,55.88,22.97,DRY_STRESS,67.84,100,VERY_NEAR_MINE,0,NO_ACTIVE_FIRE,5,47.62,MODERATE,Monitor during routine patrol,02-05-2026 16:55
GD-55-36,24.99856270211998,87.38138344825867,0.7716660297915235,-0.110188478,0.2837914585244623,77.16660297915236,27,-0.11527309,-0.13299667,-0.05407,29,0.0051,34,VERY_DRY,GRID_HISTORY_CALIBRATED,2772.95,7.57,0,100,100,VERY_HIGH,0,,0,FALSE,NO_FIRE,0.289110079,-0.11527309,0,STABLE,STABLE,NO_REPEATED_FIRE,28,STRESSED,72,66,100,0,0,57.8,HIGH,"Priority patrol within 24 hours; inspect moisture, mining pressure, vegetation stress","https://www.google.com/maps?q=24.99856270211998,87.38138344825867",02-05-2026 16:55,42.64,MODERATE,57.36,27.12,DRY_STRESS,62.04,100,VERY_NEAR_MINE,0,NO_ACTIVE_FIRE,5,46.32,MODERATE,Monitor during routine patrol,02-05-2026 16:55
GD-59-34,25.03449514911961,87.36158161547738,0.5903046255636666,-0.134949358,0.3526843685073712,59.03046255636666,24,-0.114480107,-0.175456,-0.00973245,29,-0.0205,24,VERY_DRY,GRID_HISTORY_CALIBRATED,0,100,3701.13,0,100,VERY_HIGH,0,,0,FALSE,NO_FIRE,0.3704165594218411,-0.114480107,1,STABLE,STABLE,LOW_REPEAT_FIRE,35,STRESSED,65,76,100,0,7,59.4,HIGH,"Priority patrol within 24 hours; inspect moisture, mining pressure, vegetation stress","https://www.google.com/maps?q=25.034495149119614,87.36158161547738",02-05-2026 16:55,50.3,MODERATE,49.7,23.58,DRY_STRESS,66.99,100,VERY_NEAR_MINE,0,NO_ACTIVE_FIRE,5,45.51,MODERATE,Monitor during routine patrol,02-05-2026 16:55
GD-60-33,25.043478260869524,87.35168069908673,0.4867139251784097,-0.124040128,0.3415470427967409,48.67139251784097,25,-0.120190207,-0.133828964,-0.084012029,29,-0.0038,20,VERY_DRY,GRID_HISTORY_CALIBRATED,0,100,4929.84,0,100,VERY_HIGH,0,,0,FALSE,NO_FIRE,0.3317568054907991,-0.120190207,0,STABLE,STABLE,NO_REPEATED_FIRE,34,STRESSED,66,80,100,0,0,60.5,HIGH,"Priority patrol within 24 hours; inspect moisture, mining pressure, vegetation stress","https://www.google.com/maps?q=25.043478260869524,87.35168069908673",02-05-2026 16:55,49.06,MODERATE,50.94,25.14,DRY_STRESS,64.81,100,VERY_NEAR_MINE,0,NO_ACTIVE_FIRE,5,45.23,MODERATE,Monitor during routine patrol,02-05-2026 16:55
GD-61-32,25.05246137261944,87.34177978269608,0.2616115501197467,-0.100200144,0.3164050677498486,26.161155011974667,29,-0.107036456,-0.11990416,-0.046365,29,0.0068,32,VERY_DRY,GRID_HISTORY_CALIBRATED,0,100,6235.58,0,100,VERY_HIGH,0,,0,FALSE,NO_FIRE,0.3273437512234374,-0.107036456,0,STABLE,STABLE,NO_REPEATED_FIRE,32,STRESSED,68,68,100,0,0,57.4,HIGH,"Priority patrol within 24 hours; inspect moisture, mining pressure, vegetation stress","https://www.google.com/maps?q=25.052461372619437,87.34177978269608",02-05-2026 16:55,46.27,MODERATE,53.73,28.54,DRY_STRESS,60.04,100,VERY_NEAR_MINE,0,NO_ACTIVE_FIRE,5,44.63,MODERATE,Monitor during routine patrol,02-05-2026 16:55
GD-06-43,24.55839022637441,87.45068986299322,0.5719960663175596,-0.167149974,0.1584840854382374,57.19960663175596,19,-0.152868641,-0.167149974,0.002868,29,-0.0143,0,DRY_CRITICAL,GRID_HISTORY_CALIBRATED,51995.48,0,48461.5,0,0,NONE,0,,0,FALSE,NO_FIRE,0.1717294600971642,-0.152868641,0,STABLE,STABLE,NO_REPEATED_FIRE,16,CRITICAL,84,100,0,0,0,51,MEDIUM,Monitor within 3 days; compare moisture and vegetation trend,"https://www.google.com/maps?q=24.55839022637441,87.45068986299322",02-05-2026 16:55,28.72,STRESSED,71.28,18.98,DRY_STRESS,73.43,5,LOW_PROXIMITY,0,NO_ACTIVE_FIRE,5,44.41,MODERATE,Monitor during routine patrol,02-05-2026 16:55
GD-81-07,25.232123607617623,87.09425687292986,0.1003974381782597,-0.072241868,0.018833216,10.039743817825974,33,-0.076399873,-0.080747781,-0.069253317,23,0.0042,22,VERY_DRY,GRID_HISTORY_CALIBRATED,31956.81,0,37364.41,0,0,NONE,0,,0,FALSE,NO_FIRE,0.015440268,-0.076399873,0,STABLE,STABLE,NO_REPEATED_FIRE,2,CRITICAL,98,78,0,0,0,47.9,MEDIUM,Monitor within 3 days; compare moisture and vegetation trend,"https://www.google.com/maps?q=25.232123607617623,87.09425687292986",02-05-2026 16:55,13.2,STRESSED,86.8,32.54,DRY_STRESS,55.84,5,LOW_PROXIMITY,0,NO_ACTIVE_FIRE,5,43.79,MODERATE,Monitor during routine patrol,02-05-2026 16:55
GD-58-34,25.025512037369708,87.36158161547738,0.4488456019517543,-0.095461257,0.3360157356601136,44.88456019517543,29,-0.105646712,-0.165251067,-0.084712554,29,0.0102,92,GOOD_MOISTURE,GRID_HISTORY_CALIBRATED,0,100,2730.39,8.99,100,VERY_HIGH,0,,0,FALSE,NO_FIRE,0.3121922410859186,-0.105646712,0,STABLE,STABLE,NO_REPEATED_FIRE,34,STRESSED,66,8,100,0,0,38.9,LOW,Routine monitoring,"https://www.google.com/maps?q=25.025512037369708,87.36158161547738",02-05-2026 16:55,48.45,MODERATE,51.55,29.22,DRY_STRESS,59.32,100,VERY_NEAR_MINE,0,NO_ACTIVE_FIRE,5,43.76,MODERATE,Monitor during routine patrol,02-05-2026 16:55
GD-05-42,24.549407114624504,87.44078894660257,0.386680715,-0.122804208,0.158865415,38.66807145340261,25,-0.112139564,-0.122903905,-0.081995664,29,-0.0107,0,DRY_CRITICAL,GRID_HISTORY_CALIBRATED,52842.79,0,49307.78,0,0,NONE,0,,0,FALSE,NO_FIRE,0.1771354357955145,-0.112139564,0,STABLE,STABLE,NO_REPEATED_FIRE,16,CRITICAL,84,100,0,0,0,51,MEDIUM,Monitor within 3 days; compare moisture and vegetation trend,"https://www.google.com/maps?q=24.549407114624504,87.44078894660257",02-05-2026 16:55,28.76,STRESSED,71.24,25.31,DRY_STRESS,64.56,5,LOW_PROXIMITY,0,NO_ACTIVE_FIRE,5,41.74,MODERATE,Monitor during routine patrol,02-05-2026 16:55
GD-59-32,25.03449514911961,87.34177978269608,0.1428803212525602,-0.10950168,0.3507635847751003,14.288032125256024,27,-0.100111245,-0.114521951,7.9e-05,29,-0.0094,4,DRY_CRITICAL,GRID_HISTORY_CALIBRATED,762,74.6,4523.29,0,74.6,HIGH,0,,0,FALSE,NO_FIRE,0.3637369863585313,-0.100111245,1,STABLE,STABLE,LOW_REPEAT_FIRE,35,STRESSED,65,96,74.6,0,7,60.32,HIGH,"Priority patrol within 24 hours; inspect moisture, mining pressure, vegetation stress","https://www.google.com/maps?q=25.034495149119614,87.34177978269608",02-05-2026 16:55,50.08,MODERATE,49.92,27.21,DRY_STRESS,61.9,70,NEAR_MINE,0,NO_ACTIVE_FIRE,5,41.05,MODERATE,Monitor during routine patrol,02-05-2026 16:55
