grid_id,lat,lon,google_maps_link,forest_pct,ndvi,ndmi,health_class,moisture_class_calibrated,ndvi_trend_class,ndmi_trend_class,ndvi_change_from_365d,ndmi_change_from_365d,hansen_loss_pct,fire_count,fire_detected,repeated_fire_count,repeated_fire_class,final_priority,final_risk_score,ecological_watch_level,chronic_repeated_stress_flag,soilgrids_soc,carbon_engine_version,carbon_engine_run_time,genuine_carbon_score,raw_carbon_score_before_cap,genuine_carbon_class,carbon_recommendation,field_verification_required,genuine_carbon_reason,forest_persistence_component,fris_ecological_component,ndvi_trend_history_component,ndmi_trend_history_component,fire_history_component,hansen_loss_component,soilgrids_soc_component,weight_forest_persistence,weight_fris_ecological_score,weight_ndvi_trend_history,weight_ndmi_trend_history,weight_fire_history,weight_hansen_loss,weight_soilgrids_soc,soilgrids_soc,carbon_stock_ton,carbon_stock_co2e_ton,carbon_change_co2e_ton,forest_area_for_carbon_ha,carbon_claim_status,genuine_carbon_rank
GD-36-27,24.82788360817036,87.37227520152348,"https://www.google.com/maps?q=24.82788360817036,87.37227520152348",86.78242305639569,0.7230704318693448,0.2577601966879091,HEALTHY,GOOD_MOISTURE,IMPROVING,IMPROVING,0.0244,0.1126,3.32,0,False,0,NO_REPEATED_FIRE,LOW,14.19,ROUTINE_MONITORING,False,189.16,FRIS_CARBON_GENUINE_ENGINE_V5_SOILGRIDS_SOC,2026-06-04 18:45:00 IST,90.7,90.7,CARBON_RECOVERY_OPPORTUNITY,Prioritize for restoration or CSR carbon planning after field verification.,YES,CARBON_RECOVERY_OPPORTUNITY: final score 90.70/100 (raw score 90.70/100 before hard-condition cap) | Forest Persistence=100; FRIS Ecological Score=85.81; NDVI Trend History=85.0; NDMI Trend History=85.0; Fire History=100; Hansen Loss Control=80; SoilGrids SOC Score=100 (soilgrids_soc=189.16).,100,85.81,85.0,85.0,100,80,100,25%,25%,15%,10%,10%,10%,5%,189.16,2238.061,8206.223,0.0,100.0,NOT_CERTIFIED_CARBON_CREDIT__PLANNING_MRV_SUPPORT_ONLY,11
GD-40-31,24.86381605516893,87.41187886716789,"https://www.google.com/maps?q=24.863816055168932,87.41187886716789",97.48683465695392,0.7212179291118099,0.2577575240560047,HEALTHY,GOOD_MOISTURE,IMPROVING,IMPROVING,-0.0126,0.0808,2.57,0,False,0,NO_REPEATED_FIRE,LOW,14.19,ROUTINE_MONITORING,False,200.32,FRIS_CARBON_GENUINE_ENGINE_V5_SOILGRIDS_SOC,2026-06-04 18:45:00 IST,90.7,90.7,CARBON_RECOVERY_OPPORTUNITY,Prioritize for restoration or CSR carbon planning after field verification.,YES,CARBON_RECOVERY_OPPORTUNITY: final score 90.70/100 (raw score 90.70/100 before hard-condition cap) | Forest Persistence=100; FRIS Ecological Score=85.81; NDVI Trend History=85.0; NDMI Trend History=85.0; Fire History=100; Hansen Loss Control=80; SoilGrids SOC Score=100 (soilgrids_soc=200.32).,100,85.81,85.0,85.0,100,80,100,25%,25%,15%,10%,10%,10%,5%,200.32,4325.049,15858.512,0.0,100.0,NOT_CERTIFIED_CARBON_CREDIT__PLANNING_MRV_SUPPORT_ONLY,12
GD-38-29,24.84584983166968,87.39207703434572,"https://www.google.com/maps?q=24.845849831669682,87.39207703434572",96.67845342711507,0.7128710708023772,0.2298904367640042,HEALTHY,GOOD_MOISTURE,STABLE,IMPROVING,0.0268,0.0869,0.08,0,False,0,NO_REPEATED_FIRE,LOW,10.32,ROUTINE_MONITORING,False,175.28,FRIS_CARBON_GENUINE_ENGINE_V5_SOILGRIDS_SOC,2026-06-04 18:45:00 IST,90.67,90.67,CARBON_RECOVERY_OPPORTUNITY,Prioritize for restoration or CSR carbon planning after field verification.,YES,CARBON_RECOVERY_OPPORTUNITY: final score 90.67/100 (raw score 90.67/100 before hard-condition cap) | Forest Persistence=100; FRIS Ecological Score=89.68; NDVI Trend History=65.0; NDMI Trend History=85.0; Fire History=100; Hansen Loss Control=100; SoilGrids SOC Score=100 (soilgrids_soc=175.28).,100,89.68,65.0,85.0,100,100,100,25%,25%,15%,10%,10%,10%,5%,175.28,5491.589,20135.826,0.0,100.0,NOT_CERTIFIED_CARBON_CREDIT__PLANNING_MRV_SUPPORT_ONLY,13
GD-36-26,24.827883608170467,87.36237428511207,"https://www.google.com/maps?q=24.827883608170467,87.36237428511207",87.20208297308938,0.7097457755931245,0.2407094491654199,HEALTHY,GOOD_MOISTURE,IMPROVING,IMPROVING,0.0168,0.0945,3.03,0,False,0,NO_REPEATED_FIRE,LOW,14.4,ROUTINE_MONITORING,False,193.73,FRIS_CARBON_GENUINE_ENGINE_V5_SOILGRIDS_SOC,2026-06-04 18:45:00 IST,90.65,90.65,CARBON_RECOVERY_OPPORTUNITY,Prioritize for restoration or CSR carbon planning after field verification.,YES,CARBON_RECOVERY_OPPORTUNITY: final score 90.65/100 (raw score 90.65/100 before hard-condition cap) | Forest Persistence=100; FRIS Ecological Score=85.6; NDVI Trend History=85.0; NDMI Trend History=85.0; Fire History=100; Hansen Loss Control=80; SoilGrids SOC Score=100 (soilgrids_soc=193.73).,100,85.6,85.0,85.0,100,80,100,25%,25%,15%,10%,10%,10%,5%,193.73,2410.645,8839.031,0.0,100.0,NOT_CERTIFIED_CARBON_CREDIT__PLANNING_MRV_SUPPORT_ONLY,14
GD-45-34,24.90873161391707,87.44158161640036,"https://www.google.com/maps?q=24.90873161391707,87.44158161640036",91.00939334637955,0.6900256459663731,0.2087963278007874,HEALTHY,GOOD_MOISTURE,IMPROVING,IMPROVING,-0.0219,0.0546,1.84,0,False,0,NO_REPEATED_FIRE,LOW,14.82,ROUTINE_MONITORING,False,196.98,FRIS_CARBON_GENUINE_ENGINE_V5_SOILGRIDS_SOC,2026-06-04 18:45:00 IST,90.55,90.55,CARBON_RECOVERY_OPPORTUNITY,Prioritize for restoration or CSR carbon planning after field verification.,YES,CARBON_RECOVERY_OPPORTUNITY: final score 90.55/100 (raw score 90.55/100 before hard-condition cap) | Forest Persistence=100; FRIS Ecological Score=85.18; NDVI Trend History=85.0; NDMI Trend History=85.0; Fire History=100; Hansen Loss Control=80; SoilGrids SOC Score=100 (soilgrids_soc=196.98).,100,85.18,85.0,85.0,100,80,100,25%,25%,15%,10%,10%,10%,5%,196.98,3360.496,12321.819,0.0,100.0,NOT_CERTIFIED_CARBON_CREDIT__PLANNING_MRV_SUPPORT_ONLY,15
GD-05-30,24.54940714392166,87.40197795076708,"https://www.google.com/maps?q=24.54940714392166,87.40197795076708",94.09692225582636,0.7135179363526382,0.2145202465318937,HEALTHY,GOOD_MOISTURE,STABLE,STABLE,-0.006,0.0427,0.52,0,False,0,NO_REPEATED_FIRE,LOW,11.07,ROUTINE_MONITORING,False,194.62,FRIS_CARBON_GENUINE_ENGINE_V5_SOILGRIDS_SOC,2026-06-04 18:45:00 IST,90.48,90.48,CARBON_STABLE_RESERVE,Protect existing forest condition and continue routine monitoring.,NO,CARBON_STABLE_RESERVE: final score 90.48/100 (raw score 90.48/100 before hard-condition cap) | Forest Persistence=100; FRIS Ecological Score=88.93; NDVI Trend History=65.0; NDMI Trend History=85.0; Fire History=100; Hansen Loss Control=100; SoilGrids SOC Score=100 (soilgrids_soc=194.62).,100,88.93,65.0,85.0,100,100,100,25%,25%,15%,10%,10%,10%,5%,194.62,3609.784,13235.875,0.0,100.0,NOT_CERTIFIED_CARBON_CREDIT__PLANNING_MRV_SUPPORT_ONLY,16
GD-39-30,24.85483294341932,87.40197795075682,"https://www.google.com/maps?q=24.85483294341932,87.40197795075682",96.47949342280128,0.7122680257233663,0.2636805193541973,HEALTHY,GOOD_MOISTURE,STABLE,IMPROVING,-0.0118,0.0849,0.0,0,False,0,NO_REPEATED_FIRE,LOW,11.4,ROUTINE_MONITORING,False,185.42,FRIS_CARBON_GENUINE_ENGINE_V5_SOILGRIDS_SOC,2026-06-04 18:45:00 IST,90.4,90.4,CARBON_RECOVERY_OPPORTUNITY,Prioritize for restoration or CSR carbon planning after field verification.,YES,CARBON_RECOVERY_OPPORTUNITY: final score 90.40/100 (raw score 90.40/100 before hard-condition cap) | Forest Persistence=100; FRIS Ecological Score=88.6; NDVI Trend History=65.0; NDMI Trend History=85.0; Fire History=100; Hansen Loss Control=100; SoilGrids SOC Score=100 (soilgrids_soc=185.42).,100,88.6,65.0,85.0,100,100,100,25%,25%,15%,10%,10%,10%,5%,185.42,10014.568,36720.083,0.0,100.0,NOT_CERTIFIED_CARBON_CREDIT__PLANNING_MRV_SUPPORT_ONLY,17
GD-46-38,24.91771472566623,87.48118528204536,"https://www.google.com/maps?q=24.91771472566623,87.48118528204536",92.03198152071263,0.7408659383299439,0.2792324897739806,HEALTHY,GOOD_MOISTURE,STABLE,IMPROVING,-0.0278,0.0631,0.84,0,False,0,NO_REPEATED_FIRE,LOW,13.77,ROUTINE_MONITORING,False,241.91,FRIS_CARBON_GENUINE_ENGINE_V5_SOILGRIDS_SOC,2026-06-04 18:45:00 IST,89.81,89.81,CARBON_RECOVERY_OPPORTUNITY,Prioritize for restoration or CSR carbon planning after field verification.,YES,CARBON_RECOVERY_OPPORTUNITY: final score 89.81/100 (raw score 89.81/100 before hard-condition cap) | Forest Persistence=100; FRIS Ecological Score=86.23; NDVI Trend History=65.0; NDMI Trend History=85.0; Fire History=100; Hansen Loss Control=100; SoilGrids SOC Score=100 (soilgrids_soc=241.91).,100,86.23,65.0,85.0,100,100,100,25%,25%,15%,10%,10%,10%,5%,241.91,3403.322,12478.849,0.0,100.0,NOT_CERTIFIED_CARBON_CREDIT__PLANNING_MRV_SUPPORT_ONLY,18
GD-44-30,24.89974850216785,87.40197795075528,"https://www.google.com/maps?q=24.899748502167846,87.40197795075528",99.50642216915926,0.7183349990885207,0.2116031847311257,HEALTHY,GOOD_MOISTURE,STABLE,STABLE,-0.0239,0.0433,0.35,0,False,0,NO_REPEATED_FIRE,LOW,14.19,ROUTINE_MONITORING,False,187.31,FRIS_CARBON_GENUINE_ENGINE_V5_SOILGRIDS_SOC,2026-06-04 18:45:00 IST,89.7,89.7,CARBON_STABLE_RESERVE,Protect existing forest condition and continue routine monitoring.,NO,CARBON_STABLE_RESERVE: final score 89.70/100 (raw score 89.70/100 before hard-condition cap) | Forest Persistence=100; FRIS Ecological Score=85.81; NDVI Trend History=65.0; NDMI Trend History=85.0; Fire History=100; Hansen Loss Control=100; SoilGrids SOC Score=100 (soilgrids_soc=187.31).,100,85.81,65.0,85.0,100,100,100,25%,25%,15%,10%,10%,10%,5%,187.31,2960.996,10856.985,0.0,100.0,NOT_CERTIFIED_CARBON_CREDIT__PLANNING_MRV_SUPPORT_ONLY,19
GD-07-36,24.567373367421204,87.46138344923622,"https://www.google.com/maps?q=24.567373367421204,87.46138344923622",92.64080862508764,0.5145953933248686,0.172346750444492,MODERATE,GOOD_MOISTURE,IMPROVING,STABLE,0.1678,0.0185,0.38,0,False,0,NO_REPEATED_FIRE,LOW,18.39,ROUTINE_MONITORING,False,184.48,FRIS_CARBON_GENUINE_ENGINE_V5_SOILGRIDS_SOC,2026-06-04 18:45:00 IST,89.65,89.65,CARBON_RECOVERY_OPPORTUNITY,Prioritize for restoration or CSR carbon planning after field verification.,YES,CARBON_RECOVERY_OPPORTUNITY: final score 89.65/100 (raw score 89.65/100 before hard-condition cap) | Forest Persistence=100; FRIS Ecological Score=81.61; NDVI Trend History=85.0; NDMI Trend History=65.0; Fire History=100; Hansen Loss Control=100; SoilGrids SOC Score=100 (soilgrids_soc=184.48).,100,81.61,85.0,65.0,100,100,100,25%,25%,15%,10%,10%,10%,5%,184.48,4577.533,16784.287,0.0,100.0,NOT_CERTIFIED_CARBON_CREDIT__PLANNING_MRV_SUPPORT_ONLY,20
